HM Gate Number,Gate Width (us),Gate Open (us),Gate Centre (us),Gate Close (us),Gate Width (s),Gate Open (s),Gate Centre (s),Gate Close (s)
16,19.57,426.63,436.415,446.2,0.00001957,0.00042663,0.000436415,0.0004462
17,24.57,446.63,458.915,471.2,0.00002457,0.00044663,0.000458915,0.0004712
18,30.57,471.63,486.915,502.2,0.00003057,0.00047163,0.000486915,0.0005022
19,50.57,502.63,527.915,553.2,0.00005057,0.00050263,0.000527915,0.0005532
20,50.57,553.63,578.915,604.2,0.00005057,0.00055363,0.000578915,0.0006042
21,50.57,604.63,629.915,655.2,0.00005057,0.00060463,0.000629915,0.0006552
22,100.57,655.63,705.915,756.2,0.00010057,0.00065563,0.000705915,0.0007562
23,100.57,756.63,806.915,857.2,0.00010057,0.00075663,0.000806915,0.0008572
24,100.57,857.63,907.915,958.2,0.00010057,0.00085763,0.000907915,0.0009582
25,151.57,958.63,1034.415,1110.2,0.00015157,0.00095863,0.001034415,0.0011102
26,201.57,1110.63,1211.415,1312.2,0.00020157,0.00111063,0.001211415,0.0013122
27,252.57,1312.63,1438.915,1565.2,0.00025257,0.00131263,0.001438915,0.0015652
28,353.57,1565.63,1742.415,1919.2,0.00035357,0.00156563,0.001742415,0.0019192
29,403.57,1919.63,2121.415,2323.2,0.00040357,0.00191963,0.002121415,0.0023232
30,504.57,2323.63,2575.915,2828.2,0.00050457,0.00232363,0.002575915,0.0028282
31,707.57,2828.63,3182.415,3536.2,0.00070757,0.00282863,0.003182415,0.0035362
32,807.57,3536.63,3940.415,4344.2,0.00080757,0.00353663,0.003940415,0.0043442
33,1009.57,4344.63,4849.415,5354.2,0.00100957,0.00434463,0.004849415,0.0053542
34,1211.57,5354.63,5960.415,6566.2,0.00121157,0.00535463,0.005960415,0.0065662
35,1415.57,6566.63,7274.415,7982.2,0.00141557,0.00656663,0.007274415,0.0079822
36,1819.57,7982.63,8892.415,9802.2,0.00181957,0.00798263,0.008892415,0.0098022
37,2019.57,9802.63,10812.415,11822.2,0.00201957,0.00980263,0.010812415,0.0118222
38,2729.57,11822.63,13187.415,14552.2,0.00272957,0.01182263,0.013187415,0.0145522
