LM Gate Number,Gate Width (us),Gate Open (us),Gate Centre (us),Gate Close (us),Gate Width (s),Gate Open (s),Gate Centre (s),Gate Close (s)
9,3.57,14.63,16.415,18.2,0.00000357,0.00001463,0.000016415,0.0000182
10,4.57,18.63,20.915,23.2,0.00000457,0.00001863,0.000020915,0.0000232
11,5.57,23.63,26.415,29.2,0.00000557,0.00002363,0.000026415,0.0000292
12,7.57,29.63,33.415,37.2,0.00000757,0.00002963,0.000033415,0.0000372
13,9.57,37.63,42.415,47.2,0.00000957,0.00003763,0.000042415,0.0000472
14,12.57,47.63,53.915,60.2,0.00001257,0.00004763,0.000053915,0.0000602
15,15.57,60.63,68.415,76.2,0.00001557,0.00006063,0.000068415,0.0000762
16,19.57,76.63,86.415,96.2,0.00001957,0.00007663,0.000086415,0.0000962
17,24.57,96.63,108.915,121.2,0.00002457,0.00009663,0.000108915,0.0001212
18,30.57,121.63,136.915,152.2,0.00003057,0.00012163,0.000136915,0.0001522
19,50.57,152.63,177.915,203.2,0.00005057,0.00015263,0.000177915,0.0002032
20,50.57,203.63,228.915,254.2,0.00005057,0.00020363,0.000228915,0.0002542
21,50.57,254.63,279.915,305.2,0.00005057,0.00025463,0.000279915,0.0003052
22,100.57,305.63,355.915,406.2,0.00010057,0.00030563,0.000355915,0.0004062
23,100.57,406.63,456.915,507.2,0.00010057,0.00040663,0.000456915,0.0005072
24,100.57,507.63,557.915,608.2,0.00010057,0.00050763,0.000557915,0.0006082
25,151.57,608.63,684.415,760.2,0.00015157,0.00060863,0.000684415,0.0007602
26,201.57,760.63,861.415,962.2,0.00020157,0.00076063,0.000861415,0.0009622
